Stream,Strata,Section,SectionID,SurveyDate,NewLong,NewLat,Small,Medium,Large,Corbicula_spp,California_Floater,Other_Mussel,Unknown_Mussel,Western_Pearlshell,Western_Ridged
American River,3,2,694,6/21/2015,-115.43398,45.81066,0,0,0,NA,NA,NA,NA,NA,NA
Big Creek,MIDDLE,Cabin Cr,4068,8/8/2017,-114.9372455,45.12669694,0,0,0,NA,NA,NA,NA,NA,NA
Fish Lake Creek,-99,58689,18363,7/1/2015,-114.990054,46.460252,0,0,0,NA,NA,NA,NA,NA,NA
Lick Creek,-99,L1,587,8/12/2017,-115.7622023,45.06290182,0,0,0,NA,NA,NA,NA,NA,NA
Lick Creek,-99,L3,588,8/11/2017,-115.7846118,45.07168205,0,0,0,NA,NA,NA,NA,NA,NA
Lochsa River,-99,L4,632,7/3/2016,-114.762,46.51069,0,0,0,NA,NA,NA,NA,NA,NA
Potlatch River,-99,29666,14093,6/15/2018,-116.4416372,46.79000923,0,0,0,NA,NA,NA,NA,NA,NA
South Fork Salmon River,-99,6159,17628,7/17/2017,-115.7049542,44.48329999,0,0,0,NA,NA,NA,NA,NA,NA
Two-bit Creek,-99,77303,18501,7/30/2017,-115.717444,44.66734,0,0,0,NA,NA,NA,NA,NA,NA
East Fork Potlatch River,-99,Trout Fry Meadow 1,16499,6/3/2017,-116.3632683,46.85105,0,0,0,NA,NA,NA,NA,NA,10-100    
South Fork Salmon River,-99,73207,17639,7/17/2016,-115.69436,44.63488,1,1,0,NA,NA,NA,NA,NA,10-100    
American River,3,2,694,6/29/2017,-115.43398,45.81066,0,1,0,NA,NA,NA,NA,0-10      ,NA
Big Creek,MIDDLE,TAYLOR 1,1116,8/8/2017,-114.8605782,45.10479654,0,1,0,NA,NA,NA,NA,0-10      ,NA
Bobs Creek,-99,54129,14096,6/7/2016,-116.3223594,46.89639733,0,1,0,NA,NA,NA,NA,0-10      ,NA
Bobs Creek,-99,54129,14096,6/3/2017,-116.3223594,46.89639733,0,1,0,NA,NA,NA,NA,0-10      ,NA
Crooked River,C,CAN3,990,6/28/2018,-115.55492,45.79118,0,1,0,NA,NA,NA,NA,0-10      ,NA
East Fork Potlatch River,-99,144241,14613,6/5/2017,-116.2800126,46.86854852,1,1,0,NA,NA,NA,NA,0-10      ,NA
East Fork Potlatch River,-99,2,482,6/7/2016,-116.2595305,46.87518365,0,1,0,NA,NA,NA,NA,0-10      ,NA
East Fork Potlatch River,-99,457698,16349,6/4/2016,-116.36616,46.84909366,0,1,0,NA,NA,NA,NA,0-10      ,NA
East Fork Potlatch River,-99,Trout Fry Meadow 1,16499,6/4/2016,-116.3632683,46.85105,0,1,0,NA,NA,NA,NA,0-10      ,NA
East Fork Potlatch River,-99,Trout Fry Meadow 1,16499,6/4/2018,-116.3632683,46.85105,0,0,0,NA,NA,NA,NA,0-10      ,NA
Elk Creek,-99,1A,1869,7/19/2016,-115.4559398,44.41778558,0,1,0,NA,NA,NA,NA,0-10      ,NA
Elk Creek,-99,1A,1869,7/28/2017,-115.4559398,44.41778558,0,1,0,NA,NA,NA,NA,0-10      ,NA
Elk Creek,-99,1A,1869,7/17/2018,-115.4559398,44.41778558,0,1,0,NA,NA,NA,NA,0-10      ,NA
Elk Creek,-99,1B,1870,7/19/2016,-115.4590811,44.414398,1,1,0,NA,NA,NA,NA,0-10      ,NA
Elk Creek,-99,1B,1870,7/28/2017,-115.4590811,44.414398,1,1,1,NA,NA,NA,NA,0-10      ,NA
Elk Creek,-99,2B,1873,7/12/2015,-115.4722021,44.42760148,0,1,0,NA,NA,NA,NA,0-10      ,NA
Elk Creek,-99,2B,1873,7/17/2018,-115.4722021,44.42760148,0,1,0,NA,NA,NA,NA,0-10      ,NA
Fish Creek,-99,102338,13342,7/16/2018,-115.4498847,46.33770101,0,1,0,NA,NA,NA,NA,0-10      ,NA
Fish Creek,-99,151490,13343,7/17/2017,-115.3459089,46.33329232,0,1,0,NA,NA,NA,NA,0-10      ,NA
Fish Creek,-99,172738,13346,7/16/2017,-115.3877756,46.36080213,1,0,0,NA,NA,NA,NA,0-10      ,NA
Fish Creek,-99,20418,13334,7/16/2018,-115.428057,46.34213,0,1,0,NA,NA,NA,NA,0-10      ,NA
Johnson Creek,-99,25591,18358,8/6/2015,-115.53978,44.66129,1,1,1,NA,NA,NA,NA,0-10      ,NA
Johnson Creek,MID UPR II,PW3A,734,7/14/2016,-115.5509648,44.73349327,0,1,0,NA,NA,NA,NA,0-10      ,NA
Little Boulder Creek,-99,Little Boulder Creek 1,18364,6/8/2015,-116.453269,46.771475,1,0,0,NA,NA,NA,NA,0-10      ,NA
Little Salmon River,-99,1,586,7/26/2017,-116.3110092,45.20448643,0,0,1,NA,NA,NA,NA,0-10      ,NA
Little Salmon River,-99,2,706,7/27/2017,-116.355389,45.37420652,0,1,0,NA,NA,NA,NA,0-10      ,NA
Morgan Creek,UPPER,BLM CAMP,1129,8/5/2016,-114.2306489,44.6673983,0,0,0,NA,NA,NA,NA,0-10      ,NA
Pahsimeroi River,1,PONDS,977,7/30/2018,-113.9887903,44.62354172,0,0,0,NA,NA,NA,NA,0-10      ,NA
Pahsimeroi River,LOWER,DWTNLANE,978,8/3/2017,-113.9827127,44.61908361,0,1,0,NA,NA,NA,NA,0-10      ,NA
Pahsimeroi River,LOWER,DWTNLANE,978,7/30/2018,-113.9827127,44.61908361,0,0,0,NA,NA,NA,NA,0-10      ,NA
Potlatch River,-99,18402,14090,6/6/2016,-116.4024446,46.83376033,0,1,0,NA,NA,NA,NA,0-10      ,NA
Potlatch River,-99,29666,14093,6/7/2016,-116.4416372,46.79000923,0,1,0,NA,NA,NA,NA,0-10      ,NA
Potlatch River,-99,29666,14093,6/2/2018,-116.4416372,46.79000923,0,1,0,NA,NA,NA,NA,0-10      ,NA
Potlatch River,-99,49170,14086,6/6/2016,-116.3996704,46.85162921,0,1,1,NA,NA,NA,NA,0-10      ,NA
Potlatch River,-99,49170,14086,6/3/2017,-116.3996704,46.85162921,0,1,0,NA,NA,NA,NA,0-10      ,NA
Potlatch River,-99,8210,14085,6/2/2018,-116.4008832,46.86181457,0,1,0,NA,NA,NA,NA,0-10      ,NA
Red River,1,CNTL 2,972,6/30/2017,-115.24118,45.76076,0,1,0,NA,NA,NA,NA,0-10      ,NA
Red River,2,CNTL 2,695,6/30/2017,-115.3018,45.74016,0,1,0,NA,NA,NA,NA,0-10      ,NA
Red River,2,TREAT 2,696,6/30/2017,-115.30337,45.73973,0,1,0,NA,NA,NA,NA,0-10      ,NA
Red River,4,TREAT 2,1106,6/29/2017,-115.39086,45.73025,0,1,0,NA,NA,NA,NA,0-10      ,NA
Red River,5,CNTL 2,1102,6/29/2017,-115.38756,45.77768,0,1,0,NA,NA,NA,NA,0-10      ,NA
Rock Creek,UPPER I,M1,1125,7/15/2016,-115.5432613,44.63682933,0,1,0,NA,NA,NA,NA,0-10      ,NA
South Fork Salmon River,-99,12831,18480,7/18/2016,-115.686656,44.754863,0,1,0,NA,NA,NA,NA,0-10      ,NA
South Fork Salmon River,-99,12831,18480,8/1/2017,-115.686656,44.754863,0,1,0,NA,NA,NA,NA,0-10      ,NA
South Fork Salmon River,-99,16,589,7/28/2016,-115.7191628,45.00260624,1,1,0,NA,NA,NA,NA,0-10      ,NA
Valley Creek,3,A,1257,7/19/2017,-115.010594,44.28013637,0,1,0,NA,NA,NA,NA,0-10      ,NA
West Fork Potlatch River,-99,237538,18511,6/7/2015,-116.429815,46.921229,1,0,0,NA,NA,NA,NA,0-10      ,NA
West Fork Potlatch River,-99,384133,17019,6/7/2016,-116.46394,46.94379999,0,1,0,NA,NA,NA,NA,0-10      ,NA
West Fork Potlatch River,-99,384133,17019,6/6/2017,-116.46394,46.94379999,0,1,0,NA,NA,NA,NA,0-10      ,NA
West Fork Potlatch River,-99,393186,17016,6/7/2015,-116.4532042,46.92552138,0,1,0,NA,NA,NA,NA,0-10      ,NA
West Fork Potlatch River,-99,393186,17016,6/7/2016,-116.4532042,46.92552138,0,1,0,NA,NA,NA,NA,0-10      ,NA
West Fork Potlatch River,-99,417762,17091,6/4/2016,-116.4133558,46.91809274,0,1,0,NA,NA,NA,NA,0-10      ,NA
West Fork Potlatch River,-99,417762,17091,6/3/2017,-116.4133558,46.91809274,0,1,0,NA,NA,NA,NA,0-10      ,NA
West Fork Potlatch River,-99,458722,18510,6/4/2016,-116.443464,46.921645,0,1,0,NA,NA,NA,NA,0-10      ,NA
West Fork Potlatch River,-99,458722,18510,6/6/2017,-116.443464,46.921645,0,1,0,NA,NA,NA,NA,0-10      ,NA
West Fork Potlatch River,-99,499682,18512,6/7/2015,-116.439263,46.922583,1,0,0,NA,NA,NA,NA,0-10      ,NA
West Fork Potlatch River,-99,499682,18512,9/4/2016,-116.439263,46.922583,0,1,0,NA,NA,NA,NA,0-10      ,NA
West Fork Potlatch River,-99,89221,14578,6/6/2017,-116.4113252,46.9440194,1,1,0,NA,NA,NA,NA,0-10      ,NA
American River,2,1,1101,6/16/2016,-115.4473,45.885,1,1,0,NA,NA,NA,NA,1000+     ,NA
Red River,4,TREAT 2,1106,6/16/2016,-115.39086,45.73025,0,1,0,NA,NA,NA,NA,1000+     ,NA
Ruby Creek,-99,67554,14606,6/6/2017,-116.3711843,46.80926402,1,1,1,NA,NA,NA,NA,1000+     ,NA
South Fork Salmon River,-99,11,726,7/18/2016,-115.6947947,44.85270757,1,1,1,NA,NA,NA,NA,1000+     ,NA
South Fork Salmon River,-99,33311,18477,7/29/2017,-115.72468,44.963715,1,1,1,NA,NA,NA,NA,1000+     ,NA
South Fork Salmon River,-99,543,18482,7/29/2017,-115.73919,44.94209,1,1,1,NA,NA,NA,NA,1000+     ,NA
South Fork Salmon River,-99,POVERTY,1119,7/14/2017,-115.7046374,44.83324023,1,1,1,NA,NA,NA,NA,1000+     ,NA
American River,2,1,1101,6/29/2017,-115.4473,45.885,0,1,0,NA,NA,NA,NA,100-500   ,NA
Bear Valley Creek,1,1A,749,7/17/2018,-115.2650818,44.43294253,0,1,0,NA,NA,NA,NA,100-500   ,NA
Bear Valley Creek,3,3A,593,7/11/2015,-115.3708834,44.40753681,0,1,0,NA,NA,NA,NA,100-500   ,NA
Big Creek,MIDDLE,TAYLOR 1,1116,7/16/2015,-114.8605782,45.10479654,0,1,1,NA,NA,NA,NA,100-500   ,NA
Bobs Creek,-99,103281,14098,6/2/2018,-116.3246622,46.85715251,0,1,0,NA,NA,NA,NA,100-500   ,NA
Bobs Creek,-99,37745,14097,6/3/2017,-116.3259409,46.86130266,0,1,1,NA,NA,NA,NA,100-500   ,NA
Bobs Creek,-99,37745,14097,6/2/2018,-116.3259409,46.86130266,0,1,0,NA,NA,NA,NA,100-500   ,NA
Crooked River,4,MEANDER1,1268,6/18/2015,-115.52962,45.80167,0,1,0,NA,NA,NA,NA,100-500   ,NA
Crooked River,-99,161346,14072,6/29/2017,-115.52779,45.752261,0,0,0,NA,NA,NA,NA,100-500   ,NA
Crooked River,-99,161346,14072,6/28/2018,-115.52779,45.752261,0,1,0,NA,NA,NA,NA,100-500   ,NA
East Fork Potlatch River,-99,130018,14614,6/4/2018,-116.3759153,46.84530368,0,1,0,NA,NA,NA,NA,100-500   ,NA
East Fork Potlatch River,-99,136049,14615,6/6/2016,-116.3241738,46.85722521,1,1,1,NA,NA,NA,NA,100-500   ,NA
East Fork Potlatch River,-99,136049,14615,6/4/2018,-116.3241738,46.85722521,0,0,0,NA,NA,NA,NA,100-500   ,NA
