Stream,NewLong,NewLat,Western_Pearlshell,Western_Ridged
American River,-115.43398,45.81066,NA,NA
Big Creek,-114.9372455,45.12669694,NA,NA
Fish Lake Creek,-114.990054,46.460252,NA,NA
Lick Creek,-115.7622023,45.06290182,NA,NA
Lick Creek,-115.7846118,45.07168205,NA,NA
Lochsa River,-114.762,46.51069,NA,NA
Potlatch River,-116.4416372,46.79000923,NA,NA
South Fork Salmon River,-115.7049542,44.48329999,NA,NA
Two-bit Creek,44.66734,44.66734,NA,NA
East Fork Potlatch River,-116.3632683,46.85105,NA,10-100    
South Fork Salmon River,-115.69436,44.63488,NA,10-100    
American River,-115.43398,45.81066,0-10      ,NA
Big Creek,-114.8605782,45.10479654,0-10      ,NA
Bobs Creek,-116.3223594,46.89639733,0-10      ,NA
Bobs Creek,-116.3223594,46.89639733,0-10      ,NA
Crooked River,-115.55492,45.79118,0-10      ,NA
East Fork Potlatch River,-116.2800126,46.86854852,0-10      ,NA
East Fork Potlatch River,-116.2595305,46.87518365,0-10      ,NA
East Fork Potlatch River,-116.36616,46.84909366,0-10      ,NA
East Fork Potlatch River,-116.3632683,46.85105,0-10      ,NA
East Fork Potlatch River,-116.3632683,46.85105,0-10      ,NA
Elk Creek,-115.4559398,44.41778558,0-10      ,NA
Elk Creek,-115.4559398,44.41778558,0-10      ,NA
Elk Creek,-115.4559398,44.41778558,0-10      ,NA
Elk Creek,-115.4590811,44.414398,0-10      ,NA
Elk Creek,-115.4590811,44.414398,0-10      ,NA
Elk Creek,-115.4722021,44.42760148,0-10      ,NA
Elk Creek,-115.4722021,44.42760148,0-10      ,NA
Fish Creek,-115.4498847,46.33770101,0-10      ,NA
Fish Creek,-115.3459089,46.33329232,0-10      ,NA
Fish Creek,-115.3877756,46.36080213,0-10      ,NA
Fish Creek,-115.428057,46.34213,0-10      ,NA
Johnson Creek,-115.53978,44.66129,0-10      ,NA
Johnson Creek,-115.5509648,44.73349327,0-10      ,NA
Little Boulder Creek,-116.453269,46.771475,0-10      ,NA
Little Salmon River,-116.3110092,45.20448643,0-10      ,NA
Little Salmon River,-116.355389,45.37420652,0-10      ,NA
Morgan Creek,-114.2306489,44.6673983,0-10      ,NA
Pahsimeroi River,-113.9887903,44.62354172,0-10      ,NA
Pahsimeroi River,-113.9827127,44.61908361,0-10      ,NA
Pahsimeroi River,-113.9827127,44.61908361,0-10      ,NA
Potlatch River,-116.4024446,46.83376033,0-10      ,NA
Potlatch River,-116.4416372,46.79000923,0-10      ,NA
Potlatch River,-116.4416372,46.79000923,0-10      ,NA
Potlatch River,-116.3996704,46.85162921,0-10      ,NA
Potlatch River,-116.3996704,46.85162921,0-10      ,NA
